Month,Day,Time,Session,Presenter
Sep,18,17:30 till 19:30,Pecha Kucha,
Sep,19,11:00AM till 12:30,XD Session,Duda
Sep,19,13:30 till 15:00,Analysis discussion with PO (BA),
Sep,19,15:30 till 17:00,P3 Case Study Checkpoint - Internal Research,
Sep,19,17:30 till 18:30,Lunch - Weekly Trainer review with Chitra - Team B,
Sep,20,9:00AM till 10:30AM,Staffing & RM,Vikrant & Alana
Sep,20,11:00AM till 12:30,Javascript Dojo,JK & Minno
Sep,23,9:00AM till 10:30AM,HTML/CSS Workshop,Alana & Minno
Sep,23,15:30 till 17:00,Analysis call with PO (BA),
Sep,24,9:00AM till 10:30AM,Intro to SQL (BA/QA),Anand & Vikrant
Sep,24,15:30 till 17:00,Showcase with PO,
Sep,24,17:30 till 18:30,Retro,
Sep,25,9:00AM till 10:30AM,Refactoring - Tanuj's Exercise 4 and 5,
Sep,25,11:00AM till 12:30,IPM,
Sep,25,17:30 till 19:30,Pecha Kucha,
Sep,26,9:00AM till 10:30AM,Refactoring Project Code,
Sep,26,12:30 till 13:30,Lunch - Weekly Trainer review with Chitra - Team B,
Sep,26,13:30 till 15:00,Analysis discussion with PO (BA),
Sep,27,9:00AM till 10:30AM,How to Release Software,Minno & JK
Sep,27,11:00AM till 12:30,Randori Roman Numerals,
Sep,30,9:00AM till 10:30AM,Refactoring Project Code,
Sep,30,11:00AM till 12:30,P3 Case Study Presentation Checkpoint,
Sep,30,13:30 till 15:00,Recruiting,Inger & Duda
Sep,1,9:00AM till 10:30AM,Showcase with PO,
Sep,1,11:00AM till 12:30,P3 Case Study Presentations,
Sep,1,13:30 till 15:00,P3 Case Study Presentations,
Sep,1,15:30 till 17:30,Pecha Kucha,
Sep,3,11:00AM till 12:30,Dan Goodwin - GMT visit,
Sep,3,13:30 till 15:00,Basic Professionalism,Anand & JK
Sep,3,18:30 till 22:30,Graduation Party,
Sep,4,9:00AM till 10:30AM,Life After TWU,Vikrant & Alana
Sep,4,11:00AM till 12:30,Experience Reports,
Sep,4,13:30 till 15:00,Grad Ceremony,
Sep,4,15:30 till 17:00,Closure,
